signal	files
DriverDoorOpened : 0|1@0+ (1,0) [0|0] ""  NEO	File(s):gm_global_a_lowspeed.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, mercedes_benz_e350_2010.dbc, toyota_iQ_2009_can.dbc, toyota_prius_2010_pt.dbc, luxgen_s5_2015.dbc
ENG_SPD : 23|16@0+ (0.25,0) [0|0] "RPM" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
EngineCoolantTemp : 23|8@0+ (1,-40) [0|0] "C"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
EngineRPM : 13|14@0+ (0.25,0) [0|0] "RPM" NEO	File(s):gm_global_a_powertrain.dbc, cadillac_ct6_powertrain.dbc
EngineTPS : 39|8@0+ (0.392156863,0) [0|100.000000065] "%"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
Engine_RPM : 16|12@1+ (1,0) [0|4095] "" XXX	File(s):subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc
ESP_wheelSpeedFrL_HS : 0|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedFrR_HS : 13|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedReL_HS : 26|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
ESP_wheelSpeedReR_HS : 39|13@1+ (0.04,0) [0|327.64] "km/h" Radar	File(s):tesla_radar.dbc
FCWAlert : 41|2@0+ (1,0) [0|3] "" XXX	File(s):gm_global_a_powertrain.dbc
FLWheelSpd : 7|16@0+ (0.0311,0) [0|255] "km/h"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
FRWheelSpd : 23|16@0+ (0.0311,0) [0|255] "km/h"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
Front_AUTO_Soft_Btn_Stt : 24|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Blower_Decrement : 23|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Blower_Increment : 8|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Defrost_Button : 4|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Defrost_Off : 13|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Defrost_On : 14|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Defrost_Soft_Btn_Stt : 26|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Front_Fan_Bars_Disply : 39|3@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc, ford_cgea1_2_ptcan_2011.dbc
Front_Fog_Light_SW_Status : 22|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
FrontLeftDoor : 9|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
FrontRightDoor : 10|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
GAS_ENGINE_RPM_MAYBE : 31|16@0+ (1,0) [0|65535] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc
GPSLatitude : 7|32@0+ (1,0) [0|0] "milliarcsecond"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
GPSLongitude : 39|32@0+ (1,0) [0|0] "milliarcsecond"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
GasPedalAndAcc : 23|8@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
HEADLIGHTS : 5|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_x_trail_2017.dbc
HEADLIGHTS_ON : 54|1@0+ (1,0) [0|1] "" EON	File(s):honda_accord_lx15t_2018_can_generated.dbc
HIGH_BEAM_FLASH : 3|1@0+ (1,0) [0|3] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc
HU_VehicleSpeed : 7|8@0+ (1,0) [0|0] ""  AMP	File(s):hyundai_2015_mcan.dbc
HVBatteryCurrent : 12|13@0- (0.15,0) [-614.4|614.25] "A"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
HVBatteryVoltage : 31|12@0+ (0.125,0) [0|511.875] "V"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
HandsOffSWDetectionMode : 20|2@0+ (1,0) [0|3] "" NEO	File(s):gm_global_a_powertrain.dbc
HandsOffSWlDetectionStatus : 21|1@0+ (1,0) [0|1] "" NEO	File(s):gm_global_a_powertrain.dbc
HighBeamsActive : 7|1@0+ (1,0) [0|1] "" XXX	File(s):gm_global_a_powertrain.dbc
Highbeam : 58|1@1+ (1,0) [0|1] "" XXX	File(s):subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc
HvacRemoteStrt_N_Rq : 23|4@0+ (100.0,450.0) [0|0] "RPM" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
HvacRemoteStrt_N_Rq : 47|4@0+ (100.0,450.0) [0|0] "RPM" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Keep_Hands_On_Wheel : 12|1@1+ (1,0) [0|1] "" XXX	File(s):subaru_global_2020_hybrid_generated.dbc
KeyTypeChngMykey_D_Rq_UB : 32|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Key_In_Ignition_Stat : 11|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
LANE_LINES : 10|3@0+ (1,0) [0|3] "" XXX	File(s):mazda_2017.dbc
LANE_NS : 11|4@0+ (1,0) [0|0] "" Vector__XXX	File(s):toyota_2017_ref_pt.dbc
LARGE_STEERING_WHEEL_ICON : 61|2@0+ (1,0) [0|3] "" XXX	File(s):nissan_leaf_2018.dbc, nissan_x_trail_2017.dbc
LARGE_WARNING_FLASHING : 9|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_leaf_2018.dbc
LAT_ACCEL : 0|11@1+ (0.01,-10.23) [-10.23|10.24] "m/s^2"  _4WD,ECS,IBOX,LCA,LDWS_LKAS,MDPS,PSB,SCC,TCU	File(s):hyundai_2015_ccan.dbc, hyundai_kia_generic.dbc, hyundai_i30_2014.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, acura_ilx_2016_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc
LAT_DIST : 31|11@0- (0.04,0) [-50|50] "m" XXX	File(s):toyota_adas.dbc, chrysler_pacifica_2017_hybrid_private_fusion.dbc
LEAD_DISTANCE : 39|8@0+ (1,0) [0|0] "m"  XXX	File(s):lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_accord_touring_2016_can.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc
LEFT_BLINKER : 11|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_x_trail_2017.dbc, mercedes_benz_e350_2010.dbc, nissan_leaf_2018.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc
LKASVehicleSpeed : 20|13@0+ (0.22,0) [0|0] "kph" NEO	File(s):cadillac_ct6_chassis.dbc, cadillac_ct6_powertrain.dbc
LKASteeringCmdActive : 3|1@0+ (1,0) [0|0] "" NEO	File(s):gm_global_a_powertrain.dbc, cadillac_ct6_chassis.dbc, cadillac_ct6_powertrain.dbc
LKA_STATE : 31|7@0+ (1,0) [0|127]  "" XXX	File(s):lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc
LONG_ACCEL : 13|11@1+ (0.01,-10.23) [-10.23|10.24] "m/s^2"  _4WD,ECS,EMS,EPB,IBOX,LCA,LDWS_LKAS,PSB,SCC,SPAS,TCU	File(s):hyundai_2015_ccan.dbc, hyundai_kia_generic.dbc, hyundai_i30_2014.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc
LongAccel : 40|10@1+ (0.03125,-16) [-16|16] "meters/sec/sec"  FrontCamera	File(s):tesla_radar.dbc
LaHandsOff_B_Actl : 7|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc, ford_fusion_2018_pt.dbc
LateralAcceleration : 0|16@1- (1,0) [0|7] "" XXX	File(s):bmw_e9x_e8x.dbc, gm_global_a_powertrain.dbc, cadillac_ct6_powertrain.dbc
Lead_Car : 46|1@1+ (1,0) [0|1] "" XXX	File(s):subaru_outback_2019_generated.dbc
Lead_Veh_Dep_Alert_USM : 13|2@0+ (1,0) [0|3] "" XXX	File(s):hyundai_kia_generic.dbc
LeftBlinker : 7|1@0+ (1,0) [0|0] "" NEO	File(s):gm_global_a_lowspeed.dbc
LeftSeatBelt : 12|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
LnchCtrlEngRPMReq : 15|6@0+ (1,0) [0|63] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
LongAccel : 40|10@1+ (0.03125,-16) [-16|16] "meters/sec/sec"  FrontCamera	File(s):tesla_radar.dbc
Lowbeam : 57|1@1+ (1,0) [0|1] "" XXX	File(s):subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc
MCU_gpsVehicleSpeed : 24|16@1+ (0.00391,0) [0|256.24185] "km/hr"  NEO	File(s):tesla_can.dbc
MOTOR_TORQUE : 1|10@0+ (1,0) [0|256] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
Max_AC_Econ_Button : 1|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Max_AC_Econ_Indicator : 3|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Max_AC_Off : 15|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Max_AC_On : 0|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Max_AC_Soft_Button_State : 55|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Off_Accel : 60|4@1+ (1,0) [0|15] "" XXX	File(s):subaru_global_2020_hybrid_generated.dbc
Off_Throttle : 30|1@1+ (1,0) [0|1] "" XXX	File(s):subaru_forester_2017_generated.dbc
PASS_AIRBAG_OFF : 14|1@0+ (1,0) [0|1] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
PASS_AIRBAG_ON : 15|1@0+ (1,0) [0|1] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
Paddle_Shift : 60|2@1+ (1,0) [0|3] "" XXX	File(s):subaru_outback_2019_generated.dbc
Panel_Floor_Md_Ind_State : 10|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Panel_Floor_Mode_Button : 29|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Panel_Floor_Mode_Indicator : 4|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Panel_Mode_Button : 30|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
Panel_Mode_State : 7|4@0+ (8.33,0) [0|0] "%" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
ParkAid_Aud_Frt_Trgt_Warn : 3|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
ParkAid_Aud_Frt_Warn_Cmd : 5|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
ParkAid_Aud_Frt_Warn_Stat : 5|2@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
PrkHtrAtv : 0|1@0+ (1,0) [0|1] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
PrkHtrCoolntTemp : 15|8@0+ (1,-40) [-40|215] "deg C"  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
RES_BTN : 3|1@0+ (1,0) [0|0] "" XXX	File(s):lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc
