UserId,SemExpertise,MapToolExpertise,DomainExpertise,TimeAlignInit,TimeExtInit,CorrAlignInit,CorrExtInit,TimeAnnotInit,CorrAnotInit,TimeAlignTrain,TimeExtTrain,CorrAlignTrain,CorrExtTrain,TimeAnnotTrain,CorrAnotTrain
u01,1,1,5,42,92,1,0.75,62,0.8,39,75,1,0,46,0.67
u02,5,5,2,51,218,1,0.75,118,0.8,30,NA,1,NA,30,1
u03,3,3,1,22,186,1,0.75,94,0.8,37,NA,1,NA,37,1
u04,1,2,5,54,225,0.67,1,156,0.8,33,NA,1,NA,33,1
u05,5,5,3,70,168,1,1,109,1,26,NA,1,NA,26,1
u06,5,5,3,49,186,1,1,104,1,78,NA,1,NA,78,1
u07,5,5,3,34,127,1,1,71,1,58,NA,1,NA,58,1
u08,2,2,4,88,272,1,1,162,1,71,NA,1,NA,71,1
u09,1,1,5,43,105,1,1,68,1,33,NA,1,NA,33,1
u10,4,4,2,48,236,1,1,123,1,42,NA,1,NA,42,1
u11,5,1,3,56,219,1,0.75,121,0.8,37,NA,1,NA,37,1
u12,4,4,3,54,168,1,1,99,1,29,NA,1,NA,29,1